dt,gp_range,gp_dir,gp_pos,gp_break_hi,gp_break_lo,atr,cvd_divergence
8,,,,,,2.357251750972763,0.11500518134715026
9,2.041057278611631,0.14945454104263795,0.5501313041475303,0.12875803441841177,0.09796806966618288,2.2026459423295646,-0.04341514783313082
10,1.7907070640034524,-0.15117907733865707,0.5305499629448553,0.13364884682042394,0.11065191307825624,1.6608314405260012,-0.04184236054971706
11,1.2723639066359775,-0.04641382471241648,0.5171736641197489,0.11929385415980502,0.11619787892760687,1.3043774520782556,-0.0214616
12,1.0374322578785515,-0.03503408495285165,0.5015316113895596,0.11651061585124621,0.11954371620730582,1.10202577475933,-0.03648203471941865
13,1.0395567518300282,-0.00048077104220147285,0.5136307443526028,0.12618088128427032,0.11845147651450089,1.0813671016211943,-0.03997094430992736
14,1.1269584506376942,0.0708546433510555,0.5280763558968024,0.13491273475346738,0.11626518017121243,1.1744705620810936,-0.050171160130718956
15,1.0007568728184528,-0.010753000050924562,0.5160366417412702,0.12016718913270637,0.11201671891327064,0.9797285684430511,-0.09235394456289979
