raw_features 47414행, 130거래일 (2026-02-05 ~ 2026-08-21)
왕복비용(정본 산식, 평균가 1040.99 기준): 0.0712pt | 병기(394차 구 가정): 0.133pt
※ 방향 ± 둘 다 출력 — 더 좋은 쪽 사후 선택은 in-sample. 후보 심사는 예상 부호 사전 명세 방향만 읽을 것.

feature                       h    거래수 | +1방향:     net/일      t       전반       후반 | -1방향:     net/일      t
toxicity_score_ma             5   3873 |           -1.5863  -0.64   0.0000  -3.1482 |           -2.6908  -1.08
va_bandwidth                  5   9112 |            5.4021   0.87   7.4783   3.3578 |          -15.4648  -2.50
volume_acceleration           5   9273 |            3.5379   0.56   7.8158  -0.6742 |          -13.7784  -2.18
vwap_momentum                 5   8457 |           -9.7883  -1.44 -17.0820  -2.6067 |            0.4489   0.07
vwap_position                 5   8132 |           -8.6299  -1.35 -18.1535   0.7472 |           -0.3505  -0.05
atr                          15   3087 |           -8.1588  -1.20 -12.3828  -3.9998 |            4.7497   0.70
atr_ratio                    15   3088 |            0.3423   0.05   6.9607  -6.1742 |           -3.7525  -0.59
avg_volume                   15   3089 |           -7.6435  -1.14 -11.8132  -3.5379 |            4.2322   0.63
bb_position                  15   2941 |           -4.6320  -0.71 -13.6632   4.2603 |            1.3841   0.21
cancel_add_ratio             15   1273 |           -1.0527  -0.49   0.0000  -2.0892 |           -0.3531  -0.16
cvd                          15    255 |            2.4987   2.35   0.0000   4.9590 |           -2.7803  -2.58
cvd_delta_norm               15   3086 |           -0.0403  -0.01 -10.5771  10.3344 |           -3.3677  -0.52
cvd_divergence               15   3086 |            0.4773   0.07  10.3951  -9.2878 |           -3.8853  -0.60
cvd_monotone_ratio           15    471 |           -4.2557  -2.54   0.0000  -8.4460 |            3.7356   2.26
cvd_slope                    15   3012 |           -3.7597  -0.58 -14.9838   7.2917 |            0.4334   0.07
ema_cross                    15   2349 |           -2.7161  -1.18  -2.0813  -3.3412 |            0.1220   0.05
foreign_call_net             15   1265 |           -0.7931  -0.33   0.0000  -1.5739 |           -0.6039  -0.25
foreign_futures_net          15   1265 |            1.6499   0.61   0.0000   3.2744 |           -3.0469  -1.12
foreign_put_net              15   1265 |           -1.4965  -0.56   0.0000  -2.9699 |            0.0995   0.04
foreign_retail_divergence    15   1265 |            0.4596   0.16   0.0000   0.9122 |           -1.8566  -0.66
hurst                        15   2831 |          -10.5168  -1.66 -15.4671  -5.6427 |            7.3905   1.16
imbalance_slope              15   1264 |           -3.4823  -1.53   0.0000  -6.9110 |            2.0864   0.92
institution_futures_net      15   1265 |           -3.2191  -1.13   0.0000  -6.3887 |            1.8221   0.64
macro_krw_chg                15   1049 |            0.2237   0.11   0.0000   0.4440 |           -1.3822  -0.70
macro_nasdaq_chg             15     26 |           -0.4258  -1.81   0.0000  -0.8451 |            0.3971   1.78
macro_sp500_chg              15     76 |            0.1827   0.32   0.0000   0.3626 |           -0.2666  -0.47
