raw_features 13182행, 36거래일 (2026-07-01 ~ 2026-08-21)
왕복비용(정본 산식, 평균가 1087.46 기준): 0.0726pt | 병기(394차 구 가정): 0.133pt
※ 방향 ± 둘 다 출력 — 더 좋은 쪽 사후 선택은 in-sample. 후보 심사는 예상 부호 사전 명세 방향만 읽을 것.

feature                       h    거래수 | +1방향:     net/일      t       전반       후반 | -1방향:     net/일      t
spread_ticks                  5   2541 |           -3.5766  -0.53   5.3534 -12.5066 |           -6.6755  -0.99
threshold_feasibility         5   2600 |           -2.3478  -0.39  -6.4491   1.7534 |           -8.1423  -1.35
time_cos                      5   2599 |            3.5925   0.44   4.9683   2.2168 |          -14.0786  -1.73
time_sin                      5   2599 |           -3.4347  -0.51 -12.4728   5.6034 |           -7.0514  -1.04
toxicity_atr_stress           5   1617 |           -4.0342  -0.76   1.9179  -9.9863 |           -2.4898  -0.46
toxicity_cancel_stress        5   2178 |           -2.8893  -0.43  -9.5563   3.7777 |           -5.8982  -0.87
toxicity_flow_stress          5   2604 |           -6.5520  -0.91 -11.6649  -1.4391 |           -3.9542  -0.55
toxicity_queue_stress         5   1988 |           -7.8160  -1.37  -4.9193 -10.7127 |           -0.2049  -0.04
toxicity_score                5   2601 |           -4.9815  -0.78  -8.0653  -1.8977 |           -5.5126  -0.86
toxicity_score_ma             5   2603 |           -3.7394  -0.49  -7.2498  -0.2291 |           -6.7628  -0.89
toxicity_spread_stress        5   1721 |           -6.0540  -1.25   3.5818 -15.6899 |           -0.8896  -0.19
va_bandwidth                  5   2566 |            7.8258   1.19  17.6155  -1.9640 |          -18.1787  -2.78
vkospi                        5   2235 |           -4.9398  -0.82  -1.9518  -7.9279 |           -4.0776  -0.68
volume_acceleration           5   2597 |            3.5338   0.60   9.1682  -2.1006 |          -14.0118  -2.36
vwap_momentum                 5   1850 |           -2.0465  -0.28  -0.3869  -3.7061 |           -5.4176  -0.73
vwap_position                 5   2254 |            1.3029   0.23   5.4757  -2.8698 |          -10.3971  -1.85
atr                          15    854 |            6.2689   0.70  12.3372   0.2005 |           -9.7145  -1.09
atr_expansion_rate           15    854 |            5.8694   0.91   9.2594   2.4794 |           -9.3150  -1.45
atr_ratio                    15    854 |           -4.8767  -0.79  -1.4217  -8.3317 |            1.4311   0.23
avg_volume                   15    854 |            5.2628   0.85  14.5783  -4.0528 |           -8.7084  -1.41
bar_volume                   15    854 |            4.9400   0.60   5.1516   4.7283 |           -8.3856  -1.03
basis_change_pt              15    759 |            5.8588   0.86  12.2605  -0.5428 |           -8.9212  -1.31
basis_pt                     15    759 |            6.8205   0.93   5.2916   8.3494 |           -9.8828  -1.34
bb_position                  15    852 |            1.0440   0.16  14.1223 -12.0343 |           -4.4815  -0.68
cancel_add_ratio             15    854 |           -1.7956  -0.25   0.8572  -4.4484 |           -1.6500  -0.23
cvd                          15     88 |            2.2975   1.01   2.3534   2.2416 |           -2.6525  -1.17
cvd_delta_norm               15    854 |            8.1000   1.24   5.1016  11.0983 |          -11.5456  -1.78
cvd_divergence               15    854 |          -12.7628  -1.73 -19.9339  -5.5917 |            9.3172   1.26
cvd_monotone_ratio           15    227 |           -8.6346  -1.75  -9.6755  -7.5937 |            7.7187   1.57
cvd_slope                    15    854 |           10.8489   1.64  17.5972   4.1005 |          -14.2945  -2.16
ema_cross                    15    854 |           -5.8928  -0.89  -5.6917  -6.0939 |            2.4472   0.37
foreign_call_net             15    854 |           -5.9850  -0.88   0.3783 -12.3484 |            2.5394   0.37
foreign_futures_net          15    854 |            3.9116   0.44   2.8828   4.9405 |           -7.3572  -0.83
foreign_put_net              15    854 |           -3.1228  -0.41 -15.2706   9.0250 |           -0.3228  -0.04
foreign_retail_divergence    15    854 |            0.6739   0.08  -1.1417   2.4894 |           -4.1195  -0.51
hurst                        15    795 |           -2.4516  -0.40  -6.8692   1.9661 |           -0.7560  -0.12
imbalance_slope              15    851 |           -3.1523  -0.58  -7.3014   0.9968 |           -0.2812  -0.05
institution_futures_net      15    854 |           -1.9578  -0.22   0.2639  -4.1795 |           -1.4878  -0.17
macro_krw_chg                15    852 |            2.1423   0.38   3.1061   1.1786 |           -5.5799  -0.98
macro_nasdaq_chg             15     26 |           -1.5269  -1.86   0.0000  -3.0538 |            1.4220   1.82
macro_sp500_chg              15     37 |           -1.0130  -1.14  -0.7860  -1.2400 |            0.8637   1.00
macro_us10y_chg              15     18 |            1.5154   1.30   2.6487   0.3820 |           -1.5880  -1.34
macro_vix                    15     87 |            3.1450   1.32   4.2272   2.0629 |           -3.4961  -1.47
microprice_bias              15    853 |           -5.7408  -1.00  -6.0995  -5.3821 |            2.2992   0.40
microprice_depth_bias        15    854 |           -3.2045  -0.47  -0.6139  -5.7950 |           -0.2411  -0.04
microprice_slope             15    854 |            3.0311   0.51   6.3850  -0.3228 |           -6.4767  -1.10
mlofi_norm                   15    854 |            2.7728   0.43  -3.5184   9.0639 |           -6.2184  -0.96
mlofi_slope                  15    854 |            4.3983   0.51  -1.3050  10.1016 |           -7.8439  -0.91
ofi_imbalance                15    854 |          -11.8956  -2.01 -11.6206 -12.1706 |            8.4500   1.43
ofi_norm                     15    854 |           -2.8078  -0.47  -1.2939  -4.3217 |           -0.6378  -0.11
ofi_reversal_speed           15    854 |            6.9889   1.16   2.8705  11.1072 |          -10.4345  -1.73
opt_atm_call_oi              15    811 |           -7.8016  -1.15  -1.2124 -14.3908 |            4.5295   0.66
opt_atm_pcr                  15    811 |            0.3345   0.06  -1.8056   2.4746 |           -3.6066  -0.61
opt_atm_put_oi               15    816 |            4.1172   0.80   0.4523   7.7820 |           -7.4095  -1.43
opt_chain_pcr                15    845 |           -1.9435  -0.29  -8.0941   4.2071 |           -1.4658  -0.22
opt_gex_bn                   15    849 |           -2.3183  -0.37   1.0453  -5.6818 |           -1.1072  -0.17
opt_pcr_extreme_signed       15    406 |           -2.3640  -0.53   0.1863  -4.9144 |            0.7260   0.16
opt_pcr_norm                 15    406 |           -2.3640  -0.53   0.1863  -4.9144 |            0.7260   0.16
opt_pcr_slope_norm           15    573 |           -1.7254  -0.37   3.0721  -6.5229 |           -0.5865  -0.13
poc_distance                 15    854 |           -2.0167  -0.24  -1.7495  -2.2839 |           -1.4289  -0.17
prev_day_same_hour_ret       15    569 |           -7.1167  -1.85  -3.2045 -11.0290 |            4.8210   1.27
program_arb_net              15    619 |           -7.3798  -1.52  -2.2547 -12.5050 |            4.8824   1.01
program_non_arb_net          15    619 |            5.3591   1.37   6.4653   4.2528 |           -7.8565  -1.98
quality_investor_age_sec     15    854 |          -10.0034  -1.41   0.2428 -20.2495 |            6.5578   0.93
quality_macro_age_sec        15    854 |           -5.6022  -0.72  11.6805 -22.8850 |            2.1566   0.28
queue_depletion_speed        15    801 |            5.7813   1.03   5.5263   6.0364 |           -9.0131  -1.60
queue_directional_depletion   15    854 |           -9.0795  -1.23 -21.3428   3.1839 |            5.6339   0.76
queue_momentum               15    854 |            6.0416   0.74  -0.6195  12.7028 |           -9.4872  -1.16
queue_refill_rate            15    801 |           -9.0131  -1.60  -8.7782  -9.2480 |            5.7813   1.03
queue_signal                 15    854 |           -0.6245  -0.08  -4.6550   3.4061 |           -2.8211  -0.37
queue_signal_ma              15    854 |           -2.6589  -0.33   4.4283  -9.7461 |           -0.7867  -0.10
ret_15m                      15    853 |           -3.2158  -0.49  -4.8377  -1.5939 |           -0.2258  -0.03
ret_1m                       15    854 |            8.3005   1.09   9.4494   7.1516 |          -11.7461  -1.54
ret_5m                       15    854 |            5.1505   1.02   8.8028   1.4983 |           -8.5961  -1.70
retail_futures_net           15    854 |           -4.6395  -0.52   7.1139 -16.3928 |            1.1939   0.13
spread_ticks                 15    854 |            6.2044   1.08  17.7894  -5.3806 |           -9.6500  -1.69
threshold_feasibility        15    854 |            3.3883   0.55   7.4083  -0.6317 |           -6.8339  -1.10
time_cos                     15    854 |            6.6400   0.81   9.8605   3.4194 |          -10.0856  -1.23
time_sin                     15    854 |           -4.2089  -0.64 -11.5906   3.1728 |            0.7633   0.12
toxicity_atr_stress          15    606 |           -5.0931  -1.00  -3.3666  -6.8195 |            2.6481   0.52
toxicity_cancel_stress       15    715 |           -4.0329  -0.57  -1.1658  -6.9001 |            1.1482   0.16
toxicity_flow_stress         15    854 |           -5.9667  -0.84  -4.6317  -7.3017 |            2.5211   0.35
toxicity_queue_stress        15    778 |           -7.3317  -1.23   3.9739 -18.6373 |            4.1927   0.70
toxicity_score               15    854 |           -3.8972  -0.61  -5.0961  -2.6984 |            0.4516   0.07
toxicity_score_ma            15    854 |           -0.1978  -0.03  -4.5750   4.1794 |           -3.2478  -0.42
toxicity_spread_stress       15    648 |           -2.3333  -0.56   3.2072  -7.8739 |           -0.2811  -0.07
va_bandwidth                 15    850 |            7.2592   1.21  14.5497  -0.0314 |          -10.6886  -1.78
vkospi                       15    737 |            2.3355   0.38   7.0481  -2.3772 |           -5.3090  -0.87
volume_acceleration          15    854 |          -10.1550  -1.36  -6.9661 -13.3439 |            6.7094   0.90
vwap_momentum                15    642 |            0.3921   0.06   3.9869  -3.2027 |           -2.9823  -0.45
vwap_position                15    757 |            7.4395   1.19  11.6644   3.2147 |          -10.4938  -1.68
atr                          30    426 |            3.2645   0.50   7.0773  -0.5483 |           -4.9833  -0.76
atr_expansion_rate           30    426 |            1.3734   0.19   1.8773   0.8695 |           -3.0922  -0.44
atr_ratio                    30    426 |           -2.0066  -0.32   1.8506  -5.8638 |            0.2878   0.05
avg_volume                   30    426 |           -1.3060  -0.22   0.3328  -2.9449 |           -0.4127  -0.07
bar_volume                   30    426 |            9.8356   1.33  14.8017   4.8695 |          -11.5544  -1.56
basis_change_pt              30    379 |            2.8899   0.38   5.4391   0.3406 |           -4.4190  -0.57
basis_pt                     30    379 |            9.0515   1.28   8.7802   9.3228 |          -10.5807  -1.49
bb_position                  30    425 |            5.9387   0.88  18.1602  -6.2827 |           -7.6535  -1.13
cancel_add_ratio             30    426 |           -1.0133  -0.15   1.3251  -3.3516 |           -0.7055  -0.11
cvd                          30     79 |            5.2523   1.46   6.6223   3.8823 |           -5.5710  -1.55
cvd_delta_norm               30    426 |            2.1390   0.32  -2.1827   6.4606 |           -3.8577  -0.58
cvd_divergence               30    426 |           -8.2794  -1.26  -4.3716 -12.1872 |            6.5606   1.00
cvd_monotone_ratio           30    130 |           -5.8928  -1.21  -8.2615  -3.5241 |            5.3683   1.10
cvd_slope                    30    426 |           10.2417   1.55  16.7084   3.7751 |          -11.9605  -1.81
ema_cross                    30    426 |           -5.0510  -0.67  -2.6894  -7.4127 |            3.3323   0.44
foreign_call_net             30    426 |           -2.9594  -0.40   5.2884 -11.2072 |            1.2406   0.17
foreign_futures_net          30    426 |            2.2590   0.29   4.3051   0.2128 |           -3.9777  -0.52
foreign_put_net              30    426 |           -3.8499  -0.50 -16.2572   8.5573 |            2.1312   0.28
foreign_retail_divergence    30    426 |            5.2167   0.73   6.1917   4.2417 |           -6.9355  -0.97
hurst                        30    389 |           -1.2681  -0.26  -4.3156   1.7795 |           -0.3014  -0.06
imbalance_slope              30    426 |            7.3756   0.87   4.7995   9.9517 |           -9.0944  -1.07
institution_futures_net      30    426 |           -4.6977  -0.56  -4.6860  -4.7094 |            2.9790   0.36
macro_krw_chg                30    425 |           -6.7024  -1.09 -10.8038  -2.6009 |            4.9876   0.81
macro_nasdaq_chg             30     13 |           -1.8579  -1.88   0.0000  -3.7158 |            1.8054   1.86
macro_sp500_chg              30     22 |           -0.4366  -0.33  -0.2784  -0.5948 |            0.3478   0.27
macro_us10y_chg              30     13 |            0.5071   0.36   1.2330  -0.2188 |           -0.5596  -0.39
macro_vix                    30     58 |            1.6097   0.53   1.5115   1.7078 |           -1.8437  -0.61
microprice_bias              30    426 |           -1.7044  -0.20   8.5506 -11.9594 |           -0.0144  -0.00
microprice_depth_bias        30    426 |           -3.4877  -0.45   5.2351 -12.2105 |            1.7690   0.23
microprice_slope             30    426 |           -0.2310  -0.05   5.6017  -6.0638 |           -1.4877  -0.31
mlofi_norm                   30    426 |            8.0762   1.17  15.0662   1.0862 |           -9.7949  -1.42
mlofi_slope                  30    426 |            1.7695   0.27  -3.8938   7.4328 |           -3.4883  -0.53
ofi_imbalance                30    426 |           -6.2594  -1.15  -9.9272  -2.5916 |            4.5406   0.83
ofi_norm                     30    426 |            3.7156   0.49   0.1217   7.3095 |           -5.4344  -0.71
ofi_reversal_speed           30    426 |            7.3190   0.97   6.6906   7.9473 |           -9.0377  -1.20
opt_atm_call_oi              30    408 |            1.0569   0.17   4.7821  -2.6682 |           -2.7031  -0.43
opt_atm_pcr                  30    411 |            4.3581   0.75  11.3200  -2.6038 |           -6.0163  -1.03
opt_atm_put_oi               30    408 |           -1.1997  -0.18 -10.0850   7.6855 |           -0.4464  -0.07
opt_chain_pcr                30    424 |           -4.2270  -0.68  -6.0869  -2.3672 |            2.5163   0.40
opt_gex_bn                   30    425 |           -0.3429  -0.04  -4.9772   4.2913 |           -1.3718  -0.17
opt_pcr_extreme_signed       30    216 |            2.4720   0.56   7.0568  -2.1127 |           -3.3435  -0.75
opt_pcr_norm                 30    216 |            2.4720   0.56   7.0568  -2.1127 |           -3.3435  -0.75
opt_pcr_slope_norm           30    289 |            3.5703   0.73   9.7385  -2.5979 |           -4.7363  -0.97
poc_distance                 30    426 |            0.5417   0.07   2.3195  -1.2360 |           -2.2605  -0.27
prev_day_same_hour_ret       30    284 |           -4.5735  -0.88  -1.1811  -7.9658 |            3.4276   0.66
program_arb_net              30    309 |           -4.9889  -0.98  -1.8895  -8.0883 |            3.7422   0.74
program_non_arb_net          30    309 |            3.7500   0.75   8.5082  -1.0083 |           -4.9967  -1.00
quality_investor_age_sec     30    426 |           -9.7444  -1.68  -1.6872 -17.8016 |            8.0256   1.38
quality_macro_age_sec        30    426 |           -0.9499  -0.14  15.3284 -17.2283 |           -0.7688  -0.11
queue_depletion_speed        30    402 |           -7.2993  -0.94 -16.6476   2.0490 |            5.6774   0.73
queue_directional_depletion   30    426 |           -5.1544  -0.78 -21.0072  10.6984 |            3.4356   0.52
queue_momentum               30    426 |            7.7140   0.93   0.2306  15.1973 |           -9.4327  -1.14
queue_refill_rate            30    402 |            5.6774   0.73  15.0257  -3.6710 |           -7.2993  -0.94
queue_signal                 30    426 |           -3.3427  -0.39 -13.0805   6.3951 |            1.6240   0.19
queue_signal_ma              30    426 |            4.8590   0.70  12.0640  -2.3460 |           -6.5777  -0.94
ret_15m                      30    425 |            1.1521   0.15  12.2558  -9.9516 |           -2.8668  -0.38
ret_1m                       30    426 |            3.0790   0.41  10.0840  -3.9260 |           -4.7977  -0.64
ret_5m                       30    426 |           -1.4849  -0.24   3.9562  -6.9260 |           -0.2338  -0.04
retail_futures_net           30    426 |           -3.9310  -0.52   5.1162 -12.9783 |            2.2123   0.29
spread_ticks                 30    426 |           -6.1694  -1.07  -8.4083  -3.9305 |            4.4506   0.78
threshold_feasibility        30    426 |            0.4012   0.07   6.0595  -5.2572 |           -2.1199  -0.35
time_cos                     30    426 |            6.1212   0.81  10.4340   1.8084 |           -7.8399  -1.04
time_sin                     30    426 |           -5.4444  -0.86 -12.6327   1.7440 |            3.7256   0.59
toxicity_atr_stress          30    340 |           -8.7181  -1.65 -11.2130  -6.2232 |            7.3463   1.39
toxicity_cancel_stress       30    357 |           -4.4513  -0.91  -0.9792  -7.9234 |            3.0109   0.61
toxicity_flow_stress         30    426 |           -9.7960  -1.28 -11.5760  -8.0160 |            8.0773   1.06
toxicity_queue_stress        30    395 |          -16.6880  -2.45 -19.1592 -14.2168 |           15.0943   2.22
toxicity_score               30    426 |           -6.2016  -0.65  -5.0605  -7.3427 |            4.4828   0.47
toxicity_score_ma            30    426 |            5.1328   0.63  -3.6205  13.8862 |           -6.8516  -0.84
toxicity_spread_stress       30    348 |           -5.6576  -1.00  -7.3113  -4.0038 |            4.2535   0.75
va_bandwidth                 30    424 |            7.5047   1.17   9.9713   5.0380 |           -9.2153  -1.44
vkospi                       30    368 |            3.4137   0.63   8.0291  -1.2016 |           -4.8985  -0.90
volume_acceleration          30    426 |           -9.9805  -1.49   0.7984 -20.7594 |            8.2617   1.24
vwap_momentum                30    340 |            8.3113   1.34   9.6953   6.9273 |           -9.6831  -1.56
vwap_position                30    386 |           10.7369   1.90  17.8975   3.5762 |          -12.2942  -2.18

합격 참고선(08-02 계획 L2, 관측 전 고정): 일평균 net > 0 이고 t 유의 + 전·후반 동부호. 구 가정(0.133pt) 열은 JSON에 병기.
JSON: docs/미륵이고도화3/26주WFA_20260824/L2b_tradability_36d.json
